Date, Open, High, Low, Close,,,,,
2007/04/22,65981.22,67417.82,65981.22,67024.82,1043.6,1.6%,1.581662176,,
2007/01/22,65919.02,66635.32,65452.84,65661.73,-257.29,-0.4%,-0.390312235,,
06/30/22,66830.88,67137.21,66223.31,66223.31,-607.57,-0.9%,-0.909115666,,
06/29/22,67351.46,67989.16,67139.96,67747.41,395.95,0.6%,0.587886291,,
06/28/22,68106.9,68686.65,67888.32,68058.12,-48.78,-0.1%,-0.071622699,,
06/27/22,67104.53,68360.41,67104.53,67826.78,722.25,1.1%,1.076305877,,
06/24/22,65371.92,66373.23,65207,66348.75,976.83,1.5%,1.494265428,,
06/23/22,65283.8,65784.97,64744.53,65295.42,11.62,0.0%,0.017799209,,
06/22/22,65901.3,65901.3,65191.1,65712.68,-188.62,-0.3%,-0.286215902,,
06/21/22,66963.57,67508.53,66598.62,66747.23,-216.34,-0.3%,-0.323071186,,
06/20/22,65648.69,66692.73,65524.91,66350.31,701.62,1.1%,1.06874943,,
06/17/22,66439.6,66815.42,65390.88,65390.88,-1048.72,-1.6%,-1.578456222,,
06/16/22,65799.07,67544.51,65225.95,67502.09,1703.02,2.6%,2.588212873,,
06/15/22,65683.52,67544.51,65225.95,67502.09,1818.57,2.8%,2.768685357,,
06/14/22,66854.22,66909.86,65559.37,65683.52,-1170.7,-1.8%,-1.751123564,,
06/13/22,66904.31,66904.31,65961.66,66381.03,-523.28,-0.8%,-0.782131973,,
2006/10/22,68825.79,68825.79,67703.13,67803.51,-1022.28,-1.5%,-1.485315316,,
2006/09/22,69474.01,70460.74,68910.8,68910.8,-563.21,-0.8%,-0.810677259,,
2006/08/22,70706.47,70706.47,69879.58,69950.21,-756.26,-1.1%,-1.069576801,,
2006/07/22,70582.46,70740.21,69780.66,70318.23,-264.23,-0.4%,-0.374356462,,
2006/06/22,71321.9,71460.82,70830.62,71120.09,-201.81,-0.3%,-0.282956567,,
2006/03/22,71375.62,71752.67,70920.45,70920.45,-455.17,-0.6%,-0.637710748,,
2006/02/22,70993.04,71334.63,70922.97,71035,41.96,0.1%,0.059104385,,
2006/01/22,71855.23,71973.74,70567.04,70849.38,-1005.85,-1.4%,-1.399828516,,
05/31/22,71779.98,72289.88,71620.27,72094.87,314.89,0.4%,0.438687779,,
05/30/22,70926.29,72063.86,70926.29,71958.15,1031.86,1.5%,1.454834308,,
05/27/22,69423.37,70607.71,69423.37,70485.46,1062.09,1.5%,1.529873874,,
05/26/22,67644.75,69573.31,67597.57,69483.76,1839.01,2.7%,2.71862931,,
05/25/22,67968.93,68227.74,66820.04,67585.25,-383.68,-0.6%,-0.564493218,,
05/24/22,67996.32,68182.56,67491.28,67690.72,-305.6,-0.4%,-0.449436087,,
05/23/22,68271.2,68798.07,68145.24,68367.37,96.17,0.1%,0.140864669,,
05/20/22,69023.91,69217.65,67575.28,67575.28,-1448.63,-2.1%,-2.09873651,,
05/19/22,68323.43,68376.92,67512.35,68245.84,-77.59,-0.1%,-0.1135628,,
05/18/22,69841.88,70017.42,68977.65,69083.44,-758.44,-1.1%,-1.085938695,,
05/17/22,69744.13,70384.41,69649.35,69696.39,-47.74,-0.1%,-0.068450205,,
05/16/22,68573.73,69269.38,68407.44,69211.76,638.03,0.9%,0.930429189,,
05/13/22,67420.35,68650.66,67250.13,68650.66,1230.31,1.8%,1.824834787,,
2005/12/22,66716.12,67251.89,65954.36,67251.89,535.77,0.8%,0.803059291,,
2005/11/22,67750.25,68489.51,66820.56,68416.41,666.16,1.0%,0.983258364,,
2005/10/22,67183.73,67741.57,66957.47,66966.73,-217,-0.3%,-0.322994868,,
2005/09/22,67894.88,67894.88,66481.38,66769.12,-1125.76,-1.7%,-1.658092628,,
2005/06/22,69220.19,69220.19,67256.72,67978.14,-1242.05,-1.8%,-1.794346418,,
2005/05/22,71082.51,71082.51,69682.65,69682.65,-1399.86,-2.0%,-1.969345202,,
2005/04/22,71222.24,71222.24,70110.29,70357.58,-864.66,-1.2%,-1.214030898,,
2005/03/22,72198.96,72247.69,71296.64,71338.99,-859.97,-1.2%,-1.19111134,,
2005/02/22,72208.66,73130.41,72208.66,72438.25,229.59,0.3%,0.317953553,,
04/29/22,71534.57,73130.41,71534.57,72438.25,903.68,1.3%,1.263277322,,
04/28/22,70625.1,71613.58,70507.59,71534.57,909.47,1.3%,1.287743309,,
04/27/22,70348.03,70995.17,70194.16,70264.11,-83.92,-0.1%,-0.119292608,,
04/26/22,69750.67,70995.17,69750.67,70264.11,513.44,0.7%,0.736107624,,
04/25/22,70666.56,70666.56,69692.6,69750.67,-915.89,-1.3%,-1.296072711,,
04/22/22,72702.65,73003.85,72238.99,72264.9,-437.75,-0.6%,-0.602110102,,
04/21/22,73400.71,73899.86,73181.64,73350.94,-49.77,-0.1%,-0.067805884,,
04/20/22,73865.43,74205.48,73480.83,73783.43,-82,-0.1%,-0.111012689,,
04/19/22,73431.33,74108.94,73431.33,73830.27,398.94,0.5%,0.543283092,,
04/18/22,73753.38,73753.38,73265.38,73382.83,-370.55,-0.5%,-0.502417652,,
04/15/22,73753.38,73753.38,73265.38,73382.83,-370.55,-0.5%,-0.502417652,,
04/14/22,73128.65,73753.38,73128.65,73382.83,254.18,0.3%,0.347579232,,
04/13/22,73856.35,74003.8,72924.71,73128.65,-727.7,-1.0%,-0.985291041,,
2004/12/22,74468.05,74468.05,73405.09,73801.88,-666.17,-0.9%,-0.894571565,,
2004/11/22,74279.1,74739.67,74157.08,74426.4,147.3,0.2%,0.198306118,,
2004/08/22,74348.75,74911.41,74148.59,74776.11,427.36,0.6%,0.574804553,,
2004/07/22,74403.54,74403.54,73792.56,74008.07,-395.47,-0.5%,-0.531520409,,
2004/06/22,75216.64,75290.64,74028.75,74359.03,-857.61,-1.1%,-1.140186533,,
2004/05/22,75835.22,75835.22,75097.17,75286.61,-548.61,-0.7%,-0.72342376,,
2004/04/22,76242.76,76361.42,75822.96,75835.07,-407.69,-0.5%,-0.534726183,,
2004/01/22,75338.37,75959.96,74758.77,75907.9,569.53,0.8%,0.755962732,,
03/31/22,75460.68,75518.96,74766.14,75497.15,36.47,0.0%,0.048329806,,
03/30/22,74826.75,75425.31,74606.4,75425.31,598.56,0.8%,0.799927833,,
03/29/22,74687.41,75001.44,74395.02,74776.39,88.98,0.1%,0.119136545,,
03/28/22,74108.58,74608.08,73949.3,74194.35,85.77,0.1%,0.115735587,,
03/25/22,74508.19,74642.22,74111.04,74324.67,-183.52,-0.2%,-0.246308493,,
03/24/22,75244.85,75408.24,74304.82,74349.94,-894.91,-1.2%,-1.189330565,,
03/23/22,75699.26,76084.61,74781.74,74838.09,-861.17,-1.1%,-1.137620104,,
03/22/22,75233.99,75998.97,75233.99,75751.41,517.42,0.7%,0.687747652,,
03/21/22,74367.92,74921.53,74206.74,74847.63,479.71,0.6%,0.64504964,,
03/18/22,74124.27,74921.53,74124.27,74847.63,723.36,1.0%,0.975874703,,
03/17/22,73959.27,74437.53,73837.9,74124.27,165,0.2%,0.223095766,,
03/16/22,71962.95,73484.3,71681.44,73484.3,1521.35,2.1%,2.114073978,,
03/15/22,71095.12,71095.12,69556.99,70628.2,-466.92,-0.7%,-0.656753938,,
03/14/22,73157.09,73577.13,71470.67,71903.72,-1253.37,-1.7%,-1.713258414,,
2003/11/22,73667.61,74680.78,73667.61,73685.89,18.28,0.0%,0.024814162,,
2003/10/22,73192.45,73889.41,73034.68,73889.41,696.96,1.0%,0.952229362,,
2003/09/22,72438.95,73382.81,72438.95,72684.82,245.87,0.3%,0.339416847,,
2003/08/22,72860.4,73009.46,72060.67,72398.62,-461.78,-0.6%,-0.633787352,,
2003/07/22,74793.34,74793.34,73295.88,73295.88,-1497.46,-2.0%,-2.002130136,,
2003/04/22,76516.65,76837.87,74015.37,74734.37,-1782.28,-2.3%,-2.329270819,,
2003/03/22,78003.2,78297.38,77339.2,77390.85,-612.35,-0.8%,-0.785031896,,
2003/02/22,76956.33,77728.3,76852.11,77536.12,579.79,0.8%,0.753401312,,
2003/01/22,76600.13,77306.89,76320.44,77110.69,510.56,0.7%,0.666526284,,
02/28/22,74236.56,76090.51,74236.56,76090.51,1853.95,2.5%,2.497354403,,
02/25/22,73397.48,74251.8,73389.91,74205.69,808.21,1.1%,1.101141347,,
02/24/22,73825.6,74094.57,73350.31,73697.11,-128.49,-0.2%,-0.174045318,,
02/23/22,75278.13,75347.44,74769.06,74987.05,-291.08,-0.4%,-0.38667273,,
02/22/22,75380.22,75653.84,74235.39,75653.84,273.62,0.4%,0.36298647,,
02/21/22,76163.53,76708.88,75464.82,75528.46,-635.07,-0.8%,-0.833824273,,
02/18/22,76337.27,76461.76,75922.37,76368.34,31.07,0.0%,0.040700958,,
02/17/22,76479.88,76919.01,75974.12,76154.69,-325.19,-0.4%,-0.425196797,,
02/16/22,76063.08,76752.1,76063.08,76502.59,439.51,0.6%,0.577823038,,
02/15/22,76016.36,76397.36,75708.08,75853.16,-163.2,-0.2%,-0.214690627,,
02/14/22,76529.21,76529.21,75495.96,75765.16,-764.05,-1.0%,-0.99837696,,
2002/11/22,76172.98,76539.37,75659.6,76382.95,209.97,0.3%,0.275648924,,
2002/10/22,77206.47,77206.47,76159.28,76585.19,-621.28,-0.8%,-0.804699399,,
2002/09/22,76944.41,77050.78,76115.91,76690.92,-253.49,-0.3%,-0.329445635,,
2002/08/22,75815,76583.13,75815,76090.52,275.52,0.4%,0.363410935,,
2002/07/22,75101.33,75851.17,75101.33,75679.56,578.23,0.8%,0.769933102,,
2002/04/22,75171.68,75528.47,74766.38,75206,34.32,0.0%,0.045655492,,
2002/03/22,75087.72,75777.81,75006.66,75021.67,-66.05,-0.1%,-0.087963784,,
2002/02/22,75342.32,75672.05,75115.93,75190.74,-151.58,-0.2%,-0.201188389,,
2002/01/22,74488.61,75258.45,74488.61,74889.17,400.56,0.5%,0.537746643,,
01/31/22,74083.85,74905.71,73926.39,74304.56,220.71,0.3%,0.297919182,,
01/28/22,73756.96,74015.16,72856.62,73454.96,-302,-0.4%,-0.409452884,,
01/27/22,72262.67,73694.52,72244.08,73504.04,1241.37,1.7%,1.71785792,,
01/26/22,72817.09,73863.17,72667.43,73797.33,980.24,1.3%,1.3461675,,
01/25/22,72500.31,73137.22,72287.96,72314.81,-185.5,-0.3%,-0.255860975,,
01/24/22,74618.06,74618.06,72164.02,72164.02,-2454.04,-3.3%,-3.288801665,,
01/21/22,75504.8,75529.48,74651.32,74834.52,-670.28,-0.9%,-0.887731641,,
01/20/22,76572.44,76771.08,75759.12,76233.26,-339.18,-0.4%,-0.442953104,,
01/19/22,75495.59,76176.15,75008.67,76176.15,680.56,0.9%,0.901456628,,
01/18/22,75417.6,75489.78,74606.02,74955.66,-461.94,-0.6%,-0.612509547,,
01/17/22,75200.04,75609.7,75111.69,75593.47,393.43,0.5%,0.523177913,,
01/14/22,75650.39,75704.69,74950.51,75160.21,-490.18,-0.6%,-0.64795436,,
01/13/22,75537.43,75925.55,75330.6,75925.55,388.12,0.5%,0.513811497,,
2001/12/22,74569.21,75897.49,74552.96,75884.75,1315.54,1.8%,1.764186586,,
2001/11/22,74279.98,74522.06,73865.42,73971.43,-308.55,-0.4%,-0.415387834,,
2001/10/22,74072.18,74405.15,73830.47,73830.47,-241.71,-0.3%,-0.326316844,,
2001/07/22,74104.52,74348.68,73757.28,73939.71,-164.81,-0.2%,-0.222402088,,
2001/06/22,74541.36,74751.83,74025.5,74165.25,-376.11,-0.5%,-0.504565519,,
2001/05/22,74797.37,75084.14,74508.98,75060.92,263.55,0.4%,0.352351961,,
2001/04/22,73883.33,75052.06,73883.33,75052.06,1168.73,1.6%,1.581858858,,
2001/03/22,73638.72,74290.93,73638.72,73722.6,83.88,0.1%,0.113907466,,
12/31/21,73881.56,73881.56,73419.82,73709.39,-172.17,-0.2%,-0.233035144,,
12/30/21,73416.87,73822.93,73325.98,73786.45,369.58,0.5%,0.503399287,,
12/29/21,72311.66,73285.03,72311.66,73238.01,926.35,1.3%,1.281052046,,
12/28/21,71592.05,72599.48,71568.43,72444.52,852.47,1.2%,1.19073277,,
12/27/21,71570.64,71859.54,71570.64,71570.64,0,0.0%,0,,
12/24/21,71838.94,71859.54,71570.64,71570.64,-268.3,-0.4%,-0.37347433,,
12/23/21,71845.49,72052.61,71603.87,71684.1,-161.39,-0.2%,-0.224634838,,
12/22/21,71223.31,71642.27,71092.14,71359.04,135.73,0.2%,0.190569632,,
12/21/21,70850.34,71341.2,70820.58,71119.36,269.02,0.4%,0.379701777,,
12/20/21,70682.15,70682.15,69473.67,70087.63,-594.52,-0.8%,-0.841117595,,
12/17/21,71920.6,72357.23,71203.13,71203.13,-717.47,-1.0%,-0.997586227,,
12/16/21,71467.17,71467.17,71467.17,71467.17,0,0.0%,0,,
12/15/21,71544.82,72082.08,71354.32,71467.17,-77.65,-0.1%,-0.108533364,,
12/14/21,71323.95,71765.3,71264.21,71544.82,220.87,0.3%,0.309671576,,
12/13/21,72041.91,72429.55,71401.5,71429.88,-612.03,-0.8%,-0.849547159,,
2012/10/21,72158.06,72345.4,71664.71,71686.33,-471.73,-0.7%,-0.653745403,,
2012/09/21,72241.61,72577.34,71935.8,72207.64,-33.97,0.0%,-0.047022762,,
2012/08/21,73048.06,73048.06,72203.51,72403.88,-644.18,-0.9%,-0.88185778,,
2012/07/21,71324.01,72954.87,71324.01,72939.25,1615.24,2.3%,2.264651132,,
2012/06/21,70833.72,71242.44,70763.91,71016.63,182.91,0.3%,0.258224473,,
2012/03/21,71193.85,71579.06,70807.6,70807.6,-386.25,-0.5%,-0.542532817,,
2012/02/21,71220.16,71512.55,70651.31,71020.76,-199.4,-0.3%,-0.279976905,,
2012/01/21,70652.38,71251.42,70500.41,71198.08,545.7,0.8%,0.772373132,,
11/30/21,69733.44,70639.33,69537.83,70475.02,741.58,1.1%,1.063449616,,
11/29/21,69119.03,70287.55,69063.71,70008.54,889.51,1.3%,1.286924889,,
11/26/21,69669.02,69672.14,68523.69,68614.98,-1054.04,-1.5%,-1.51292497,,
11/25/21,70648.82,70929.63,70389.5,70554.68,-94.14,-0.1%,-0.133250633,,
11/24/21,70912.12,71235.21,70264.72,70558.89,-353.23,-0.5%,-0.498123593,,
11/23/21,70704.48,71079.49,70422.36,71015.4,310.92,0.4%,0.439745827,,
11/22/21,70432.32,70990.73,70432.32,70865.85,433.53,0.6%,0.615527076,,
11/19/21,71126.96,71292.25,70104.15,70376.42,-750.54,-1.1%,-1.055211695,,
11/18/21,70673.46,71084.16,70638.53,70866.57,193.11,0.3%,0.273242601,,
11/17/21,70886.26,71447.71,70886.26,70942.34,56.08,0.1%,0.079112652,,
11/16/21,70321.35,71049.07,70321.35,70938.41,617.06,0.9%,0.877485998,,
11/15/21,69978.31,70327.05,69638.92,70090.54,112.23,0.2%,0.160378266,,
2011/12/21,69585.69,69995.4,69566.43,69921.37,335.68,0.5%,0.482398033,,
2011/11/21,68541.07,69322.38,68488.76,69131.56,590.49,0.9%,0.861512667,,
2011/10/21,68103.04,68478.7,67648.74,68279.4,176.36,0.3%,0.25896054,,
2011/09/21,68202.41,68292.73,67710.84,67983.2,-219.21,-0.3%,-0.32141093,,
2011/08/21,67910.8,68264.15,67656.63,68049.34,138.54,0.2%,0.204002898,,
2011/05/21,68207.05,68712.96,67738.76,67825.34,-381.71,-0.6%,-0.559634231,,
2011/04/21,69003.06,69105.6,68156.21,68156.21,-846.85,-1.2%,-1.227264414,,
2011/03/21,67798.32,68587.27,67798.32,68587.27,788.95,1.2%,1.163671902,,
2011/02/21,67794.77,68079.85,67533.13,67782.2,-12.57,0.0%,-0.018541253,,
2011/01/21,67464.69,67464.69,67464.69,67464.69,0,0.0%,0,,
10/29/21,67759.76,67975.64,67338.6,67464.69,-295.07,-0.4%,-0.435464943,,
10/28/21,67610.21,68015.46,67590.69,67759.76,149.55,0.2%,0.221194402,,
10/27/21,67173.86,67615.44,67159.86,67475.09,301.23,0.4%,0.448433364,,
10/26/21,66959.76,67774.23,66879.94,67615.31,655.55,1.0%,0.979020833,,
10/25/21,67279.39,67323.89,66937.08,66980.45,-298.94,-0.4%,-0.444326264,,
10/22/21,66329.17,67201.84,66329.17,67050.52,721.35,1.1%,1.087530569,,
10/21/21,66352.48,66436.32,65942.71,66057.58,-294.9,-0.4%,-0.444444578,,
10/20/21,66561.37,66949.62,66347.98,66894.79,333.42,0.5%,0.50092118,,
10/19/21,67053.65,67249.16,66675.73,66776.15,-277.5,-0.4%,-0.413847717,,
10/18/21,67112.53,67176.85,66703.83,66792.1,-320.43,-0.5%,-0.477451826,,
10/15/21,67058.95,67226.25,66837.89,67028.86,-30.09,0.0%,-0.044870968,,
10/14/21,66482.6,66928.39,66482.6,66846.17,363.57,0.5%,0.546864894,,
10/13/21,65675.24,66012.78,65534.1,66012.78,337.54,0.5%,0.513953204,,
2010/12/21,65581.37,66180.38,65498.03,65988.12,406.75,0.6%,0.620221871,,
2010/11/21,65743.42,66375.07,65570.13,66101.04,357.62,0.5%,0.543963183,,
2010/08/21,65501.69,65610.39,65113.36,65242.61,-259.08,-0.4%,-0.395531779,,
2010/07/21,64646.13,65250.8,64174.33,65157.75,511.62,0.8%,0.791416284,,
2010/06/21,64388.76,64416.12,63442.84,63987.02,-401.74,-0.6%,-0.623928773,,
2010/05/21,63988.42,64574.28,63956.85,64542.87,554.45,0.9%,0.866484905,,
2010/04/21,63495.32,64303.43,63463.82,64129,633.68,1.0%,0.997994813,,
2010/01/21,63836.71,64105.27,63617.39,63661.02,-175.69,-0.3%,-0.275217817,,
09/30/21,64460.81,64726.3,64278.05,64281.77,-179.04,-0.3%,-0.277750155,,
09/29/21,63764.96,64363.66,63730.29,64363.66,598.7,0.9%,0.938916922,,
09/28/21,64191.7,64330.99,63551.65,63784.41,-407.29,-0.6%,-0.634490129,,
09/27/21,64512.52,64664.85,64111.76,64197.36,-315.16,-0.5%,-0.488525328,,
09/24/21,64049.05,64049.05,64049.05,64049.05,0,0.0%,0,,
09/23/21,63353.05,64086.97,63353.05,64049.05,696,1.1%,1.098605355,,
09/22/21,62978.31,63559.6,62978.31,63353.05,374.74,0.6%,0.595030257,,
09/21/21,61760.56,62660.46,61654.89,62362.18,601.62,1.0%,0.974116815,,
09/20/21,61850.13,62012.77,60894.3,61453.42,-396.71,-0.6%,-0.641405281,,
09/17/21,63516.6,63628.83,62863.64,62863.64,-652.96,-1.0%,-1.028014724,,
09/16/21,64235.36,64279.98,63148.92,63313.75,-921.61,-1.4%,-1.434739371,,
09/15/21,64177.35,64470.49,63840.9,64385.13,207.78,0.3%,0.323759083,,
09/14/21,64445.5,64619.21,63929.69,64300.46,-145.04,-0.2%,-0.225058383,,
09/13/21,64296.42,64841.39,64055.71,64652.32,355.9,0.6%,0.553530041,,
2009/10/21,64538.9,64682.48,64288.03,64296.06,-242.84,-0.4%,-0.376269196,,
2009/09/21,64798.51,64798.51,63993.8,64176.53,-621.98,-1.0%,-0.95986775,,
2009/08/21,66340.89,66340.89,65445.68,65525.35,-815.54,-1.2%,-1.229317243,,
2009/07/21,66407.51,66698.77,66377.16,66514.91,107.4,0.2%,0.161728696,,
2009/06/21,66674.02,66752.76,66020.21,66253.8,-420.22,-0.6%,-0.630260482,,
2009/03/21,66838.45,66972.81,66188.14,66371.85,-466.6,-0.7%,-0.698101168,,
2009/02/21,66946.37,66946.37,66357.15,66654.24,-292.13,-0.4%,-0.436364212,,
2009/01/21,67634.06,67893.71,66859.58,66976.05,-658.01,-1.0%,-0.972897383,,
08/31/21,67373.01,67645.4,67176.22,67427.93,54.92,0.1%,0.081516322,,
08/30/21,67606.3,67764.92,67042.37,67064.69,-541.61,-0.8%,-0.801123564,,
08/27/21,67065.96,67659.39,67065.96,67646.08,580.12,0.9%,0.864999174,,
08/26/21,67197.74,67281.39,66977.05,67068.74,-129,-0.2%,-0.191970742,,
08/25/21,67265.64,67496.44,67169.31,67452.86,187.22,0.3%,0.278329322,,
08/24/21,67532.03,67622.86,67317.1,67451.54,-80.49,-0.1%,-0.119187888,,
08/23/21,66623.56,67002.26,66623.56,66829.21,205.65,0.3%,0.308674589,,
08/20/21,66660.36,66660.36,65677.51,66011.06,-649.3,-1.0%,-0.974042144,,
08/19/21,65972.12,66652.7,65883.35,66113.48,141.36,0.2%,0.214272332,,
